seconds,bytes_per_second
0,500.0
1,100.0
2,0.0
3,4.0
4,3.0
5,0.0
6,5.0
7,2.0
8,2.0
9,4.0
10,505.0
11,100.0
12,2.0
13,0.0
14,3.0
15,1.0
16,2.0
17,3.0
18,3.0
19,5.0
20,502.0
21,100.0
22,2.0
23,5.0
24,5.0
25,1.0
26,2.0
27,1.0
28,0.0
29,4.0
30,504.0
31,100.0
32,5.0
33,4.0
34,2.0
35,1.0
36,0.0
37,4.0
38,1.0
39,4.0
40,504.0
41,100.0
42,2.0
43,3.0
44,4.0
45,5.0
46,2.0
47,1.0
48,2.0
49,5.0
50,504.0
51,100.0
52,0.0
53,5.0
54,4.0
55,0.0
56,2.0
57,2.0
58,4.0
59,1.0
60,500.0
61,100.0
62,0.0
63,2.0
64,5.0
65,5.0
66,0.0
67,2.0
68,4.0
69,5.0
70,501.0
71,100.0
72,4.0
73,1.0
74,0.0
75,2.0
76,3.0
77,0.0
78,2.0
79,5.0
80,503.0
81,100.0
82,4.0
83,5.0
84,1.0
85,5.0
86,1.0
87,4.0
88,4.0
89,5.0
90,500.0
91,100.0
92,1.0
93,2.0
94,4.0
95,4.0
96,5.0
97,0.0
98,2.0
99,4.0
100,505.0
101,100.0
102,1.0
103,4.0
104,4.0
105,5.0
106,3.0
107,4.0
108,1.0
109,3.0
110,505.0
111,100.0
112,5.0
113,2.0
114,3.0
115,2.0
116,2.0
117,3.0
118,1.0
119,1.0
120,503.0
121,100.0
122,4.0
123,5.0
124,3.0
125,2.0
126,1.0
127,3.0
128,2.0
129,0.0
130,504.0
131,100.0
132,3.0
133,0.0
134,1.0
135,3.0
136,0.0
137,0.0
138,5.0
139,5.0
140,501.0
141,100.0
142,2.0
143,4.0
144,3.0
145,2.0
146,4.0
147,1.0
148,1.0
149,3.0
150,501.0
151,100.0
152,0.0
153,5.0
154,1.0
155,4.0
156,0.0
157,5.0
158,0.0
159,3.0
160,503.0
161,100.0
162,5.0
163,0.0
164,3.0
165,0.0
166,0.0
167,2.0
168,2.0
169,0.0
170,503.0
171,100.0
172,4.0
173,4.0
174,2.0
175,3.0
176,0.0
177,5.0
178,5.0
179,4.0
180,500.0
181,100.0
182,5.0
183,4.0
184,1.0
185,3.0
186,2.0
187,0.0
188,2.0
189,4.0
190,505.0
191,100.0
192,2.0
193,0.0
194,4.0
195,5.0
196,3.0
197,0.0
198,5.0
199,5.0
200,505.0
201,100.0
202,4.0
203,0.0
204,2.0
205,5.0
206,2.0
207,4.0
208,2.0
209,2.0
210,504.0
211,100.0
212,4.0
213,0.0
214,3.0
215,1.0
216,5.0
217,1.0
218,5.0
219,2.0
220,503.0
221,100.0
222,3.0
223,3.0
224,0.0
225,0.0
226,1.0
227,4.0
228,3.0
229,0.0
230,501.0
231,100.0
232,4.0
233,0.0
234,0.0
235,1.0
236,0.0
237,4.0
238,5.0
239,0.0
240,503.0
241,100.0
242,2.0
243,1.0
244,3.0
245,3.0
246,5.0
247,4.0
248,0.0
249,4.0
250,505.0
251,100.0
252,0.0
253,2.0
254,2.0
255,2.0
256,4.0
257,2.0
258,1.0
259,3.0
260,500.0
261,100.0
262,3.0
263,5.0
264,4.0
265,3.0
266,0.0
267,2.0
268,5.0
269,3.0
270,500.0
271,100.0
272,1.0
273,1.0
274,3.0
275,1.0
276,3.0
277,4.0
278,1.0
279,1.0
280,502.0
281,100.0
282,4.0
283,1.0
284,4.0
285,4.0
286,5.0
287,3.0
288,0.0
289,2.0
290,501.0
291,100.0
292,2.0
293,5.0
294,1.0
295,2.0
296,2.0
297,3.0
298,2.0
299,0.0
