seconds,bytes_per_second,timestamp
0.0,500,2026-01-20 07:11:21
1.0,28,2026-01-20 07:11:22
2.0,29,2026-01-20 07:11:23
3.0,16,2026-01-20 07:11:24
4.0,22,2026-01-20 07:11:25
5.0,5,2026-01-20 07:11:26
6.0,24,2026-01-20 07:11:27
7.0,18,2026-01-20 07:11:28
8.0,14,2026-01-20 07:11:29
9.0,29,2026-01-20 07:11:30
10.0,500,2026-01-20 07:11:31
11.0,22,2026-01-20 07:11:32
12.0,26,2026-01-20 07:11:33
13.0,16,2026-01-20 07:11:34
14.0,27,2026-01-20 07:11:35
15.0,4,2026-01-20 07:11:36
16.0,26,2026-01-20 07:11:37
17.0,4,2026-01-20 07:11:38
18.0,5,2026-01-20 07:11:39
19.0,13,2026-01-20 07:11:40
20.0,500,2026-01-20 07:11:41
21.0,19,2026-01-20 07:11:42
22.0,28,2026-01-20 07:11:43
23.0,29,2026-01-20 07:11:44
24.0,16,2026-01-20 07:11:45
25.0,6,2026-01-20 07:11:46
26.0,11,2026-01-20 07:11:47
27.0,12,2026-01-20 07:11:48
28.0,20,2026-01-20 07:11:49
29.0,6,2026-01-20 07:11:50
30.0,500,2026-01-20 07:11:51
31.0,16,2026-01-20 07:11:52
32.0,6,2026-01-20 07:11:53
33.0,20,2026-01-20 07:11:54
34.0,12,2026-01-20 07:11:55
35.0,11,2026-01-20 07:11:56
36.0,25,2026-01-20 07:11:57
37.0,8,2026-01-20 07:11:58
38.0,3,2026-01-20 07:11:59
39.0,19,2026-01-20 07:12:00
40.0,500,2026-01-20 07:12:01
41.0,12,2026-01-20 07:12:02
42.0,27,2026-01-20 07:12:03
43.0,27,2026-01-20 07:12:04
44.0,21,2026-01-20 07:12:05
45.0,24,2026-01-20 07:12:06
46.0,10,2026-01-20 07:12:07
47.0,22,2026-01-20 07:12:08
48.0,17,2026-01-20 07:12:09
49.0,6,2026-01-20 07:12:10
50.0,500,2026-01-20 07:12:11
51.0,28,2026-01-20 07:12:12
52.0,29,2026-01-20 07:12:13
53.0,9,2026-01-20 07:12:14
54.0,10,2026-01-20 07:12:15
55.0,23,2026-01-20 07:12:16
56.0,7,2026-01-20 07:12:17
57.0,4,2026-01-20 07:12:18
58.0,29,2026-01-20 07:12:19
59.0,3,2026-01-20 07:12:20
60.0,500,2026-01-20 07:12:21
61.0,16,2026-01-20 07:12:22
62.0,1,2026-01-20 07:12:23
63.0,14,2026-01-20 07:12:24
64.0,11,2026-01-20 07:12:25
65.0,17,2026-01-20 07:12:26
66.0,15,2026-01-20 07:12:27
67.0,19,2026-01-20 07:12:28
68.0,28,2026-01-20 07:12:29
69.0,19,2026-01-20 07:12:30
70.0,500,2026-01-20 07:12:31
71.0,4,2026-01-20 07:12:32
72.0,29,2026-01-20 07:12:33
73.0,14,2026-01-20 07:12:34
74.0,8,2026-01-20 07:12:35
75.0,18,2026-01-20 07:12:36
76.0,21,2026-01-20 07:12:37
77.0,27,2026-01-20 07:12:38
78.0,15,2026-01-20 07:12:39
79.0,17,2026-01-20 07:12:40
80.0,500,2026-01-20 07:12:41
81.0,9,2026-01-20 07:12:42
82.0,11,2026-01-20 07:12:43
83.0,9,2026-01-20 07:12:44
84.0,10,2026-01-20 07:12:45
85.0,11,2026-01-20 07:12:46
86.0,5,2026-01-20 07:12:47
87.0,26,2026-01-20 07:12:48
88.0,1,2026-01-20 07:12:49
89.0,23,2026-01-20 07:12:50
90.0,500,2026-01-20 07:12:51
91.0,6,2026-01-20 07:12:52
92.0,18,2026-01-20 07:12:53
93.0,26,2026-01-20 07:12:54
94.0,25,2026-01-20 07:12:55
95.0,7,2026-01-20 07:12:56
96.0,24,2026-01-20 07:12:57
97.0,1,2026-01-20 07:12:58
98.0,20,2026-01-20 07:12:59
99.0,21,2026-01-20 07:13:00
100.0,500,2026-01-20 07:13:01
101.0,18,2026-01-20 07:13:02
102.0,8,2026-01-20 07:13:03
103.0,26,2026-01-20 07:13:04
104.0,14,2026-01-20 07:13:05
105.0,23,2026-01-20 07:13:06
106.0,2,2026-01-20 07:13:07
107.0,11,2026-01-20 07:13:08
108.0,1,2026-01-20 07:13:09
109.0,27,2026-01-20 07:13:10
110.0,500,2026-01-20 07:13:11
111.0,19,2026-01-20 07:13:12
112.0,9,2026-01-20 07:13:13
113.0,5,2026-01-20 07:13:14
114.0,2,2026-01-20 07:13:15
115.0,22,2026-01-20 07:13:16
116.0,7,2026-01-20 07:13:17
117.0,29,2026-01-20 07:13:18
118.0,8,2026-01-20 07:13:19
119.0,9,2026-01-20 07:13:20
