seconds,bytes_per_second
0,94
1,64
2,88
3,107
4,54
5,55
6,13
7,48
8,75
9,6
10,42
11,49
12,106
13,100
14,140
15,68
16,19
17,91
18,48
19,38
20,50
21,104
22,104
23,143
24,122
25,17
26,43
27,58
28,79
29,7
30,50
31,135
32,93
33,155
34,108
35,64
36,16
37,94
38,45
39,29
40,61
41,89
42,162
43,107
44,135
45,44
46,20
47,43
48,28
49,2
50,15
51,115
52,148
53,156
54,76
55,43
56,4
57,6
58,72
59,6
60,15
61,99
62,146
63,191
64,66
65,7
66,40
67,11
68,89
69,19
70,49
71,129
72,151
73,141
74,121
75,64
76,55
77,44
78,40
79,15
80,8
81,79
82,199
83,169
84,145
85,37
86,28
87,31
88,44
89,7
90,4
91,102
92,112
93,186
94,51
95,108
96,5
97,103
98,40
99,24
100,82
101,135
102,160
103,171
104,145
105,19
106,26
107,44
108,49
109,29
110,101
111,129
112,93
113,144
114,89
115,21
116,28
117,46
118,67
119,23
120,29
121,120
122,169
123,149
124,71
125,83
126,0
127,77
128,69
129,7
130,47
131,118
132,158
133,121
134,146
135,17
136,8
137,8
138,65
139,2
140,48
141,96
142,127
143,148
144,132
145,78
146,38
147,27
148,64
149,17
150,23
151,100
152,122
153,140
154,155
155,32
156,5
157,28
158,68
159,49
160,4
161,45
162,132
163,147
164,89
165,49
166,51
167,66
168,4
169,0
170,6
171,155
172,101
173,120
174,95
175,81
176,34
177,65
178,33
179,41
180,51
181,142
182,146
183,151
184,162
185,57
186,9
187,70
188,81
189,18
190,58
191,77
192,155
193,141
194,119
195,95
196,30
197,74
198,27
199,3
200,63
201,85
202,193
203,181
204,75
205,17
206,45
207,42
208,33
209,1
210,49
211,84
212,194
213,141
214,58
215,28
216,68
217,12
218,17
219,4
220,79
221,122
222,194
223,150
224,127
225,84
226,50
227,75
228,68
229,27
230,60
231,120
232,161
233,114
234,166
235,58
236,9
237,4
238,56
239,1
240,73
241,129
242,104
243,178
244,138
245,11
246,0
247,24
248,81
249,70
250,93
251,111
252,174
253,194
254,136
255,64
256,11
257,43
258,109
259,36
260,66
261,108
262,164
263,192
264,60
265,96
266,32
267,6
268,7
269,21
270,59
271,148
272,111
273,148
274,71
275,119
276,17
277,89
278,2
279,20
280,73
281,114
282,201
283,129
284,149
285,32
286,28
287,17
288,73
289,30
290,60
291,68
292,176
293,182
294,99
295,9
296,80
297,90
298,46
299,3
